text,emotion
Do you want to try your hand at tennis ?,happiness
Certainly I do .,happiness
It seems you're very fond of it .,happiness
I'd be happy to do something new .,happiness
Hi Mark .,neutral
What are you planning to do today ?,neutral
I'm not sure yet .,neutral
Would you like to have lunch with me ?,happiness
Yes . When ?,happiness
Is 11:30 AM OK ?,neutral
"Sorry , I didn't hear you . Can you say that again please ?",neutral
"I said , 11:30 AM .",neutral
"Oh , I'm busy then . Can we meet a little later ?",neutral
"OK , how about 12:30 PM ?",happiness
OK . Where ?,happiness
How about Bill's Seafood Restaurant ?,happiness
"Oh , Where is that ?",happiness
It's on 7th Street .,happiness
"OK , I'll meet you there .",happiness
Bill and Betty have already grown up .,happiness
"Yeah , oh my god ! It ' s still there . We have our first date right on there .",happiness
Do you know that I fell in love with you at the first sight then ?,happiness
You seemed to be dull at that time .,happiness
( Smile ) I can ' t believe this for it ' s been 20 years since we got married .,happiness
So do you feel happy now ?,happiness
I couldn ' t have been any happier !,happiness
"Of course , we are the happiest family in the world .",happiness
"I heard you were on a date last night ! So , how did it go ? I want all the juicy details !",happiness
"Um ... well , actually , we had a fantastic time last night . He was ... amazing !",happiness
"Okay , now you really have to fill me in . What ' s he like ?",neutral
"He ' s really good looking , he ' s quite tall , around 6 ' 1 "" , he ' s in his early thirties , and he ' s got the most beautiful dark brown eyes ...",happiness
He sounds hot ! What does he do for a living ?,happiness
"You know what , this is the best part . David is a junior investment banker at Fortune Bank , so he ' s got a great career path ahead of him !",happiness
"Hold on a sec , his name is David ?",neutral
That ' s my brother !,neutral
Do you feel like going to see a movie tonight ?,happiness
I'll always remember my college days .,happiness
Oh yeah ?,neutral
"It was one of the best times in my life . It was tough , but I made it . I became a college graduate .",happiness
How did you feel when you graduated ?,neutral
"It was a round day for me . My family attend the graduation ceremony . I was so nervous . I couldn't find my cap and gown , but all worked out in the end .",happiness
What did you do after graduation ?,neutral
"I was planning to attend gradate school , but then I was offered a good job doing marketing , so I changed my mind .",happiness
Sounds like you're happy with your decision .,happiness
I sure am . So what about you ? How did you feel when you graduated ?,happiness
"It was also a proud day for me , but I also felt like a kind of loss that day .",neutral
How could it be ?,neutral
"While seeing others going to work or continue their study , I didn't know what I would do .",neutral
You didn't have an offer ?,neutral
"I had one , but I didn't like the job very much . I wanted to attend graduate school , but I was afraid it would be too tough .",neutral
"I think you lack in the power of decision . Once you make your decision , don't be overtaken by misgivings and fear . Just go full steam ahead !",neutral
What a lovely day . The sun is shinning and the sky is so blue . It's a perfect day to go to the beach and get a beautiful tan .,happiness
"Great idea . Unlike you , I just want to enjoy watching the sea and playing with the sand . I do not want to get a tan because I look good in pale skin .",happiness
Come on . Getting a tan symbolizes health and wealth in western countries .,happiness
While the pale color symbolizes beauty and elegance in most Asia countries .,happiness
That is a really interesting fact .,happiness
I will bring a big hat and apply a lot of sunscreen before setting off the beach .,happiness
Just do whatever you feel like doing .,happiness
( At the beach ) My bag is so heavy . Let's put the stuff under the tree .,happiness
Good idea . It is always cooler in a shade .,happiness
I can't wait to play in the water . My feet are burning when I stand on the sand .,happiness
I ' m just looking at this map of the world . I ' m preparing for a geography class .,neutral
There are no countries marked on the map .,surprise
"No , there aren ' t . this map just show the geographical features . Look at the Himalayan plateau with the highest peaks in the world .",neutral
"The thing that I find most surprising is that most of the world is covered with water . Compared to the oceans , most countries are tiny .",surprise
I find it incredible how millions of years of volcanic activity have created mountains thousands of metres tall .,surprise
Rivers have created deep valleys and canyons like the grand can you .,neutral
The oceans and landscapes all influence our climate .,neutral
It ' s all so interesting . I ' ll have to find more information about it on the internet . Or perhaps I should try and attend your geography class .,happiness
Are you excited about your trip next month ?,neutral
"Yes and no . I can ' t wait to go to Europe , but at the same time I am terrified .",neutral
"Well , I have acrophobia . I have a chronic fear of flying .",fear
"Oh really ? I have an uncle who is also terrified of flying . It ' s not that bad though , I mean , it is pretty scary to be in this big machine flying through the air at seven hundred miles per hour . I actually have arachnophobia .",surprise
You ' re scared of spiders ? I actually have two more phobias . Acrophobia and glossophobia .,surprise
"I guess that explains why you are afraid of flying , but public speaking is not that bad .",neutral
"Are you kidding ? When I get on stage , my palms start to sweat , I get really nervous and I can hardly speak .",surprise
"Well , I must confess I am a bit claustrophobic . I hate being in an elevator for more than 5 seconds .",neutral
We are such weirdos right ?,neutral
Do you have any idea what time it is ?,anger
My bad . I didn't realize that it was so late .,sadness
Do you really think that that excuses your tardiness ?,neutral
Of course not . I really did lose track of time .,neutral
Didn't I tell you to call when you're running late ?,neutral
"Yeah , you did . I just forgot to call .",neutral
"It doesn't matter , you should have called and let me know .",neutral
That's true . My bad for not calling .,sadness
"If you do this again , don't even bother coming home .",anger
You're going to kick me out over this ?,surprise
"Exactly , maybe that'll teach you to respect my rules .",neutral
"Well , if I'm not living here anymore , then I won't have to listen to your rules .",anger
Excuse me .,neutral
"Yes , Miss , what can I do for you ?",neutral
"I ordered my dish about a half an hour ago , but it hasn't arrived yet .",neutral
"I'm sorry for that , I'm going to check with the chef right now . Miss , I just checked with the kitchen , and they said your order will be coming right up next . Oh , here comes .",sadness
"Miss , I'm very sorry for the delay , please enjoy this . Free a glass of wine for inconvenience . Again I'm terribly sorry to make you wait so long .",sadness
It doesn't matter .,happiness
They must have got in through the kitchen window .,neutral
If only we'd remember to close it .,neutral
"I am afraid your diamond bracelet has gone , darling !",surprise
I wish I'd put it in the bank .,neutral
Look ! they've taken your fur coat too .,surprise
"I know , I am sorry I ever bought it .",sadness
I noticed they've taken our radio and left the television .,neutral
It's a pity they didn't take the tele . We need a new one . Anyway we can claim for all this from the insurance company .,neutral
"I wish we could , but we can't , you see , we are not insured .",neutral
"Hello , Ellen .",neutral
"Hello , Helen , have you heard the news ? There ' s been a horrible accident .",neutral
"Oh , no ! What happened ?",sadness
"Hilda Harris husband , Henry had an accident on his way home from work .",neutral
How awful ! Was he hurt ?,sadness
Yes . He was taken to the hospital in an ambulance .,neutral
How did it happen ?,neutral
His car was hit by an express train . It happened at the crossing just behind his house .,neutral
How horrible !,sadness
He ' s having an operation in the hospital now . Poor Hilda ! You can imagine how unhappy she is .,neutral
I hope he ' ll be all right .,neutral
"I hope so , too .",neutral
May I help you ?,neutral
"Yes , I would like to return these slacks .",neutral
Alright . Do you have your receipt ?,neutral
Yes . Here it is . I bought them last week .,neutral
And why are you returning them ?,neutral
I bought them to go with a blouse of mine . But they don't really match .,neutral
"I see . Oh , wait . Ma'am , I'm sorry . These slacks were on sale .",sadness
"Yes , they were thirty percent off .",neutral
"I'm sorry , but we don't allow returns on sale items .",sadness
I know many stores have that policy . But I have returned sale items here before .,neutral
"I'm sorry , but we usually don't do it . It is our policy .",sadness
I just bought these slacks a week ago . And I am a regular customer here . Can you make an exception this time ?,neutral
"Well . Let me talk to the manager for a moment . Madam , the manager says can do it this time .",neutral
Good . I'm a regular customer here . I am glad you can make an exception for me .,happiness
Please show me your receipt again .,neutral
Here it is .,neutral
"I will have to give you store credit , Madam . If you can find something else you like in the store , you can use the credit .",neutral
Store credit is okay with me . I'm sure I will find something I like . I shop here a lot .,neutral
"We appreciate your business , Madam .",happiness
Hi ! Is that the new laptop you brought last week ? It looks very nice .,happiness
"Yes , it is . Thanks . I ' m just surfing on the internet .",happiness
Here ? In this cafe ? How can you do that ?,surprise
"This cafe offers a wireless internet connection . That means I can get on the net for free while I ' m here . Of course , I have to buy a cup of coffee !",neutral
That ' s great . Can you do it anywhere ?,happiness
No . you can only do it when the cafe offers a wireless connection . There are only about 10 or 12 places that offer it in this city .,neutral
"So , what programs do you have on your laptop ?",neutral
I ' Ve got all the usual ones for word processing and then I have a few for creating and editing photographs .,neutral
"I know you are keen on photography . It ' s very useful for you to be able to download photos from your digital camera . Then you attach the picture files to emails and send them to anyone , anywhere , at anytime !",neutral
"It ' s wonderful , isn ' t it ? Would you like to see some photos that I look recently ?",happiness
Did you get your grades yet ?,neutral
Yeah . My whole GPA is screwed up now .,sadness
Why ? What happened ?,surprise
"Well , I bombed my econ final and ended up with a 1 . 7 .",sadness
Ouch . You must be very disappointed .,neutral
"Well , it's my fault because I didn't study as much as I should have .",neutral
Why don't you re-take the class next year ?,neutral
That's what I plan on doing unless I keep screwing up . How did you do this semester ?,neutral
I didn't do that well either . I ended up with a 3 . 2 this semester . That drops my total GPA to 3 . 45 .,neutral
My GPA is pretty similar to yours . I have a 3 . 1 now because of the stupid econ class .,neutral
What was your GPA before this semester ?,neutral
I was sitting happy with a 3 . 4 .,neutral
Why did it go down so much ?,neutral
Let's just say I screwed up more than my econ class .,neutral
What happened to you ?,neutral
I started playing starcraft and ended up wasting a lot of time .,neutral
You better stop slacking off .,neutral
You're right . I'm not going to play games during school anymore .,neutral
What are your weekend arrangements ?,neutral
There're many things I can do on weekends .,neutral
What sort of things are you interested in ?,neutral
"I'm keen on talking short trips to nearby scenic spots . More often than not , I go with some of my friends . By the way , what are your favorites ?",happiness
"I love swimming and cycling . On Sunday morning I have swimming practice for an hour . In the afternoon , I just ride my bike around the city or along the country roads for almost two hours .",happiness
That's great ! I think they do you a lot of good . Where do you swim ?,happiness
"Mostly in the city's swimming pool . But on occasion , I go to the beach with friends . Well , what do you do at leisure ?",neutral
I'm fond of dancing .,happiness
Good . You really know how to enjoy yourself .,happiness
What was the last movie you saw ?,neutral
"A Korean film called Friends , starring Sang Dong-gun .",neutral
"Really ? I've seen that movie , too .",surprise
How did you like the movie ?,neutral
I thought it was pretty good .,happiness
Really ? I can't say I agree .,surprise
You're kidding . The story and acting were outstanding .,surprise
"I guess I expected too much from the movie , so I was a bit disappointed .",neutral
I guess it could happen .,neutral
What's your favorite book ?,neutral
It's Gone With the Wind .,neutral
Why do you like it best ?,neutral
I enjoy the various characters and the plot .,happiness
Well . I like the Thom Birds best .,happiness
Is it very interesting ?,neutral
"Sure . I like the writer's language , too .",happiness
"If I have a chance , I'll enjoy the book .",happiness
Would you like to go to the bookshop with me ?,happiness
That's a good idea . Let ' s go !,happiness
"How are you , Sue ?",happiness
Pretty good . I ' Ve just had my new poems published .,happiness
Congratulations on your success .,happiness
And how ' s your brother ?,happiness
He is fine .,happiness
"He ' s going to be sent to Britain to study , really ?",happiness
Yes . He ' s already got the passport and visa .,happiness
Fantastic ! Please send him my congratulations .,happiness
Thank you . He ' s very lucky indeed .,happiness
"Beautiful weather , isn ' t it ?",happiness
"Yes , it is . Are you here on business ?",happiness
"No , I ' m on a vacation to see the famous Three Gorges .",happiness
"I ' m going there for a tour , too . Is this your first trip to China ?",happiness
"Yes , it is .",happiness
Why don ' t we go together ? I can show you around . I think you ' ll have a better time .,happiness
I couldn ' t agree more .,happiness
"Great , let ' s go !",happiness
I hear you bought a new house in the northern suburbs .,neutral
"That ' s right , we bought it the same day we came on the market .",neutral
What kind of house is it ?,neutral
It ' s a wonderful Spanish style .,happiness
"Oh , I love the roof tiles on Spanish style houses .",happiness
And it ' s a bargaining . A house like this in river side costs double the price .,happiness
"Great , is it a two bedroom house ?",happiness
"No , it has three bedrooms and three beds , and has a living room with a twelve-foot ceiling . There ' s a two-car garage .",neutral
That ' s a nice area too . It ' ll be a good investment for you .,happiness
"Yeas , when will you buy a house ?",neutral
"Not untill the end of this year , you know , just before my wedding .",neutral
"Right , congratulations .",happiness
Taxi .,neutral
"Get on , PLS . Where do you wanna go ?",neutral
"Thank you . Pls hurry , I am late . Can I get to the Battery Park before 4 ?",happiness
"All right , Miss . I think we will get there if there are no delays on the way .",neutral
How exactly do you figure out the car fare ?,neutral
"According to the kilometer rate , the first five kilometers are 4 dollars and every kilometer extra costs 50 cents .",neutral
"Oh , I see .",neutral
"Here we are , Miss .",neutral
Thank you . How much do I owe you ?,happiness
You owe me 19 dollars .,neutral
That's 20 dollars . Keep the change !,happiness
"No problem , anytime .",happiness
Let me know if I can do anything for you .,happiness
"Okay , thank you .",happiness
Who's that man over there talking to James ?,neutral
"Where ? Oh , that's Henry .",neutral
"He's very handsome , isn't he ? What's he like ?",happiness
"He's very nice , actually , but rather eccentric .",neutral
Really ? I love eccentric people .,surprise
"Yes , but he may be too eccentric even for you .",neutral
Why ? What do you mean by that ?,surprise
"Well , haven't you heard ?",neutral
Heard what ? No one ever tells me anything .,neutral
"Well , apparently , he's been having an affair with his secretary .",neutral
Really ! How fascinating .,surprise
"According to Mary , he's divorcing his wife and there's a big fight going on about the children . I thought everyone knew .",neutral
"Well , what can I say ? I didn't know . Oh , I meant to tell you earlier , your blouse doesn't really match your skirt . Those colors don't really suit you either .",neutral
"Oh . Thanks . Look , I must just go and say hello to someone . I'll be right back .",neutral
Do you like climbing ?,happiness
"Yes , I like it very much .",happiness
How about climbing up the Fragrant Mountain tomorrow ?,happiness
Where is it ?,happiness
"It is located at the east foot of Western Mountain of Beijing , in a park with the same name . There are some huge stones within the mountain which look like the censer , so it is called ' Fragrant Mountain ' .",happiness
Have you visited it before ?,happiness
"Many times . Except climbing , there are many attractions worth visiting .",happiness
Like what ?,happiness
"It is the best season to view red leaves from the Mid-October to the first ten days of November . During the period , thousands of hectares of maples on the sloping field are so red that you would recognize them as fallen petals by mistake if looking from a further area . The bright red , pink , scarlet , and peach-puff leaves are distributed in different layout , with some green pines and cypresses dotted in between .",happiness
Sounds marvelous .,happiness
You can take a bird-eye view at the glorious picture when you arrive at the top of the mountain .,happiness
Great . I will prepare some clothes and food for the climbing .,happiness
Steve . Is that you ?,surprise
Yeah . What's going on ?,neutral
Not much . What a surprise to see you here .,surprise
Yeah . It's been a couple of months since I saw you .,neutral
I just started working out .,neutral
Really ? Where do you work out at ?,surprise
I joined the Samsung Health Club last month .,neutral
What do you mostly do during your workout ?,neutral
"I concentrate mostly on my legs , chest , arms and stomach .",neutral
I should start exercising more .,neutral
"It's hard work while exercising , but it is a great feeling when I get done .",neutral
"I have a running machine at home . I used to use it , but I already got sick of it .",neutral
Exercising at home is hard . The environment is not suited for exercising .,neutral
"If I want to exercise , I will need to join a gym .",neutral
I have a couple of guest passes . You want to check out my health club ?,happiness
That's a good idea . Let's go over the weekend .,happiness
Great . I'll call you Saturday morning .,happiness
Aright . I'll talk to you later .,happiness
Ok . Bye .,happiness
I'm glad we came here . This is really delicious !,happiness
I was worried you would think it was too far to drive .,neutral
"Well , it's true I've never driven two hours just to get lunch . But really , I think it's worth it .",neutral
"I think if you try some more authentic Chinese food , you might understand how we students from Taiwan suffer .",neutral
"How do you mean "" suffer "" ?",neutral
"I mean , in Milwaukee there is no good Chinese food . So we miss the food in Taiwan too much . Sometimes we just have to drive down here to Chicago to find something better .",neutral
Even in the winter ?,neutral
"Yes , even in the winter .",neutral
"And even if it takes two hours , huh ?",neutral
Why not ? I've been craving good food for three weeks now . I'm too sick of hamburgers and pizza !,happiness
"Well , this really is delicious , I have to admit . I can understand better now why you and your friends are always whining .",neutral
Don't tease me ! Good food is really important to Chinese !,happiness
"I know . I can see that . This is what is called "" dim sum , "" right ?",neutral
"Yes , all these dishes are different "" dim sum "" dishes . You can't find this kind of thing except for in a few cities in America .",neutral
"So when you Chinese think of Chinatown , you mostly think of food . Is that right ?",neutral
Of course . I will try to buy some things at the Asian grocery down the block too . Then I can do a little cooking in my apartment .,happiness
"And maybe we can go to a good Italian restaurant for dinner , after the museum . Chicago has some great Italian restaurants .",neutral
No way !,neutral
"We're going up to the "" new "" Chinatown for dinner . I already know where we're going to go .",neutral
"Alright , alright . I am happy to try more Chinese food . Will it be dim sum again ?",neutral
"No , dim sum is usually eaten around lunch time , or sometimes closer to breakfast . We ' ll try more Taiwanese style up at the "" new "" Chinatown .",neutral
Taiwanese style ? Isn't dim sum Taiwanese style ?,neutral
"No , dim sum is more Cantonese style . But of course you can buy it in Taiwan .",neutral
I wonder if you can cook things this good .,happiness
I'm a great cook actually . You will see .,happiness
"Well , how was your honeymoon ?",neutral
"It was fantastic ! We had such a good time . The only problem was that because it was their high season , we spent hours queuing .",happiness
Peak periods always entail hours of queuing . At least you got a nice tan though !,happiness
"Yes , Florida had great weather while we were there . You look tan , too . Did you go somewhere ?",happiness
My friends and I just got back from Bali .,happiness
"Wow ! Bali Islands have some of the best beaches in the world , don't they ?",happiness
"Yes , we were lucky . My friend's father owns a resort on one of the islands , so we were able to stay for free .",happiness
Did you go diving while you were there ?,neutral
"I took a few diving classes , but I didn't really like it , so I did snorkeling instead !",neutral
Did you take any pictures in the ocean ?,neutral
I've got quite a few pictures of all different kinds of fish . I'll show them to you next time I see you .,happiness
Have you started planning your christmas vacation yet ?,happiness
We're planning on going skiing in Switzerland . Do you ski ?,happiness
"No , but I do like snowboarding .",happiness
Would you like to go skiing with us for christmas ?,happiness
I'll talk to my husband about it ; I'm sure he'll say yes ! He loves Switzerland !,happiness
It is Europe's spotless land of lakes and mountains ! Let me know as soon as you can so we can get a discount .,happiness
What's up ? You look low .,neutral
It's my girlfriend . I guess she's playing the army game .,sadness
I saw her dating with her ex-boyfriend again .,sadness
I understand that . But I think maybe it's not a date . You are taking the matter too much to heart .,neutral
Maybe . But it still gets on my nerves .,sadness
"Hey , Daniel , how's it going ?",neutral
"Hey , Daddy , today I had really a fantastic history class .",happiness
"Wow , it's so strange for you to say things like that . What had happened ?",surprise
We've learnt the story of Zheg He Sailing to West Ocean . He is a real great navigator .,neutral
Did your teacher tell you the route he took ?,neutral
"Yeah , he , with his fleet , came across the Indian Ocean , and arrived at the east coast of Africa .",neutral
"Great , do you still remember when he started his voyage ?",neutral
"Of course , that is from 1405 to 1433 , which is in Ming dynasty .",neutral
"Good , by the way , do you finish reading the book Robinson Crusoe I've bought for you ?",neutral
"Not yet , you know I have a lot of homework to do .",neutral
"You should speed up , because the story of Robinson can give you a better understanding about what you learned today .",neutral
"OK , great Daddy , after supper , I'll embark on it .",happiness
"That's my boy ! Wait , Daniel , when is Pirates of the Caribbean on ?",happiness
"Is it about Captain Jack Sparrow , who wants to find the treasure on the sea ?",happiness
"Exactly , now , tell me the time .",happiness
"I won't tell you , unless you promise to let me watch it with you .",neutral
"Hi , Monica , congratulations ! Your presentation at the meeting was very successful and everyone was impressed by your speech . And it was so persuasive and I bet our clients will be convinced to invest their money in this project . You really made a big contribution to our company .",happiness
"Thank you , I just tried my best . I am very happy to know you like it .",happiness
"You must have been prepared for a long time . Some statistics in this presentation are not easy to find , right ?",happiness
"Well , yes . Several colleagues from different departments helped me with that . They are very supportive . I consulted an economic expert last week . He was very kind to give valuable suggestions .",happiness
"Now , the effort pays off . You have accomplished something .",happiness
"Come on , don ' t flatter me anymore . I took the job because I love being challenged . But I can ' t get this turned around without the support from you people .",happiness
There are so many flavors of ice cream to choose from !,happiness
"Yes , there must be about a hundred . Do you have a favorite ?",happiness
I love fruit flavored ices the best .,happiness
"I know , fresh fruit flavored is the best ever .",happiness
What is your least favorite ice cream ?,neutral
I don't like peppermint ice cream .,neutral
"Yeah , I know what you mean .",neutral
"One time , I tried garlic ice cream .",neutral
That could be interesting .,neutral
That doesn't sound like a good choice for today though . Let's order !,neutral
How do you feel about this restaurant ?,neutral
I really liked it !,happiness
I really enjoyed the food .,happiness
What did you enjoy the most ?,neutral
I enjoyed the fish the most .,neutral
"The fish was pretty special , but I loved the dessert .",happiness
The macadamia cake was out-of-this-world !,happiness
I really felt that the service was exceptionally good .,happiness
"Yes , the service really added to the experience .",happiness
I am looking forward to returning to this restaurant .,happiness
Does it look like a good fit ?,neutral
It's definitely your size .,happiness
"Yes , it is very nice . I'll take it .",happiness
How do you prefer to pay ?,neutral
Let me use my credit card .,neutral
"Now , if you'll just sign here .",neutral
I hope you enjoy your purchase . Good-bye .,happiness
Perfect . Couldn ' t be better !,happiness
"Come on , you must tell me everything about him .",neutral
"Well , he's very tall and handsome .",happiness
Hmm ...,neutral
He has big blue eyes and long blonde hair .,happiness
"Oh , how long ?",neutral
"Down to his shoulders . It's beautiful , like gold .",happiness
OK . OK . You'd better tell me what he does .,neutral
He's a very creative painter . His paintings sell well .,happiness
"He's quite a patient teacher , too .",happiness
Fine .,neutral
You're going to like him . Everybody says he's a nice guy .,happiness
I'm terrible sorry . I seem to have mislaid your MP4 .,sadness
Don't worry about that .,neutral
Very sorry that I have caused you so much trouble .,sadness
No trouble at all .,neutral
Won't you let me buy a new one tomorrow ?,neutral
"No , that's quite out of the question .",neutral
Please accept my deep apology .,sadness
I never did like this MP4 anyway . I won't hear of it .,neutral
"Good afternoon , Sam .",happiness
"Good afternoon , Tina .",happiness
What are you going to do tomorrow ?,neutral
I'm not sure yet . And you ?,neutral
I would like to go skating . Feel like going with me ?,neutral
Is skating interesting ?,neutral
"I think so . Fresh air , white snow . It's so comfortable .",neutral
But I can't skate well .,neutral
"It doesn't matter , I can teach you .",happiness
It's very kind of you .,happiness
I really appreciate your driving me around .,happiness
"It's no problem . I have time today , and I think it's important that you find a good place .",happiness
It would be hard for just me to do it . I don't know the city at all .,neutral
So what do you see in there ?,neutral
This one sounds good . Efficiency with view of the lake . Utilities and parking included . Newly remodeled kitchen . $ 470 .,neutral
Can you afford that much ?,neutral
"No , I guess not . But that's what I want , isn't it ? An efficiency .",neutral
"Yes , an efficiency is a small apartment . Usually one large room and a small bathroom . There is often a small kitchen too . So it's good for one person .",neutral
How about this one ? Downtown efficiency . Furnished ... What does furnished mean ?,neutral
That means the apartment has furniture in it .,neutral
That's good .,happiness
"Sometimes it's good , sometimes it's bad . You have to like the furniture .",neutral
Furnished . Parking included . $ 400 .,neutral
It's still pretty expensive .,neutral
"Yes , but it's downtown . I would like to take look at this one .",neutral
Alright . What's the phone number ?,neutral
256-7797 .,neutral
Got it . What else do you see ?,neutral
This one . Two male grad students seeking roommate . Must be quiet . Comfortable downtown apartment . Does this mean I have to share a room with them ?,neutral
"No . It probably means they have a large apartment . Probably a living room , kitchen and three bedrooms . They need someone for the empty bedroom .",neutral
That sounds alright .,happiness
"Yes , it might be an advantage for you . You are a foreigner , after all . If they're alright roommates , you could learn a lot from them .",neutral
"Here's the number , 256-4367 .",neutral
Got it . Let ' s call these two and see if we can make appointments to see the apartments .,neutral
Sounds good to me . I really appreciate your help on this .,happiness
"Don't mention it , Larry . What are friends for anyway ?",happiness
"Hi , Lucy . What are you going to do this weekend ?",neutral
I have no idea yet . Do you have any suggestions ?,neutral
Would you like to play tennis with me ?,happiness
I'd like to .,happiness
Be sure to get to the sports hall at nine o'clock on Sunday morning .,happiness
"OK , will do !",happiness
What a nice day !,happiness
Yes . How about going out and enjoying the sunshine on the grass ?,happiness
"Great , let's go !",neutral
"Hey , darling , I think I might have a little heatstroke from being in the sun all day . I was so relaxed . It felt as if I were in another world .",happiness
"Exactly . You know , the sunshine and wind remind me of our honeymoon . You remember ? The island , the sound of the waves , the salty sea air and the sunshine ...",happiness
"Yes , it was wonderful but it's already been a year . How time flies !",neutral
"Why not go again to celebrate our one-year anniversary ? We can go to the same beach , stay in the same hotel and enjoy a dinner in the same restaurant .",happiness
Are you kidding ? Can you afford it ? Do you think we can get a room on such short voice ?,neutral
"Never mind that , I'll take care of it . Are you available next week ?",neutral
"Yeah , I think so .",neutral
Ok . I'll make the arrangements . It will be great .,happiness
Wonderful ! I'll start packing our suitcases .,happiness
I ' m going to the beauty parlor . Do you want to come too ?,happiness
Sure . Let ' s go . What are you going to have done ?,happiness
I want to have a foot massage and haircut .,happiness
A foot massage sounds like a great idea . They are very relaxing . I ' d also like to have a mudpack on my face . It ' s supposed to help with your complexion .,happiness
Good idea . We should also pedicures and manicures .,happiness
This could become a very expensive trip to be beauty parlour !,happiness
I think it ' s a good idea to pamper yourself occasionally . Don ' t you agree ?,happiness
"Oh , I agree . We both work hard and a little beauty treatment can relieve stress .",neutral
Maybe we should try a thai massage too .,neutral
What ' s special about a thai massage ?,neutral
That ' s when the masseuse walk on your back and massage you with her feet .,neutral
Sounds painful !,neutral
Kata ! You've got a beautiful singing voice . You hit the high notes perfectly .,happiness
Thank you for your compliment . But you are exaggerating . I think you are destined to be a singer . You have the best voice !,happiness
Thank you . Maybe we can sing a song together . Would you like to sing with me ?,happiness
"Yes , I'd like to . It's my honor . Let's pick a song .",happiness
How about this one ?,neutral
"Sorry , I can't sing the song .",neutral
Er ... How about this one ?,neutral
OK . But I'm not familiar . I don't know the beginning part .,neutral
Never mind . You can follow me . I'll sing the first part .,neutral
Sarah . You look terrible . What's wrong ?,neutral
My grandmother just passed away .,sadness
I'm so sorry to hear that . When did this happen ?,neutral
A couple of days ago . I just go back from the funeral .,sadness
Is there anything I can do ?,neutral
No ... not really . The sad thing is that I wasn't there when she died . I really wanted to be there one last time .,sadness
I'm sure she knew you loved her . Did she pass away in the hospital ?,neutral
Yeah . She died in her sleep .,neutral
I'm sorry she's gone .,neutral
At least she didn't suffer .,neutral
I think your grandmother would want you to think of all the good times you spent together .,neutral
I know . But I miss her .,neutral
"When my grandmother passed away , I frequently visited her in the cemetery . I always talked to her . Even though she wasn't there , I somehow knew she heard what I said .",neutral
Yeah ? That's what I was thinking too . Thanks .,happiness
It looks like you haven't eaten anything all day . We should get you something to eat .,neutral
You're right ... I should eat something . Let's go .,happiness
"Of course , I like flowers .",happiness
"I like peach blossom , because I like spring .",happiness
Peach blossom is really beautiful .,happiness
I like lotus .,happiness
But there aren't any lotus now .,happiness
Yes . It's snowing outside . Let's enjoy the plum blossoms .,happiness
That's not bad . Let's go .,happiness
"It's going to strike 12 o'clock . Let's get the firecrackers ready , Rose .",happiness
Aren't firecrackers forbidden in the city ?,surprise
"Well yes , but they are not allowed only in downtown areas . It's OK here . It would be difficult to ban customs that have thousands of years of tradition . The habit does bring kids joy and excitement so long as precautions are taken . Let's go out and set off firecrackers out there .",happiness
Fantastic ! The whole city is echoing with crackling sounds !,happiness
What other activities will you have tomorrow ?,neutral
"Quite a lot . The celebration of the New Year has just started . The first day we southerners have sweet rice cakes for breakfast , and people in the North have Jiaozi . Afterward , we will make New Year calls on family relatives , husband's side on the first day and wife's side on the second .",neutral
Do you bring some gifts along ?,neutral
"That's for sure . Fruit , cream cakes , medical tonics are often for parents and aged relatives , and cash enclosed in a red envelope for the kids . All this , of course , should be well prepared beforehand .",neutral
Is it the same practice for all families ?,neutral
"Not all the same nowadays I must say . Many families , especially those of newly married couples , choose to make an overseas trip to escape the routines . Rose and I had a tour to Singapore , Malaysia , Thailand and Hong Kong last year . We stayed there for two weeks until the last day of the holiday .",neutral
I really appreciate the way you Chinese people exchange feelings . The holiday's long enough for you to relax .,neutral
"Well , for city dwellers , the Spring Festival is a holiday of seven days . While in the country where traditions are still heavily emphasized , the festival lasts ten days .",neutral
What a hot day !,neutral
"Yes , summer is coming .",neutral
Where are you going this summer vacation ?,neutral
I'd like to go to Tianjin .,neutral
Do you want to go to the beach there ?,happiness
"Yes , of course . And what's your plan ?",happiness
The same to you .,happiness
Do you take a bus to and from work ?,neutral
"Yeah , everyday . And there ' s only one choice . All the other buses are going the other direction .",neutral
"Hmm . I have the same problem . When I leave work , it ' s always rush hour . So the buses are always crowded .",neutral
"Oh , yeah , it ' s terrible . I will tell you the funniest thing I have seen in China . It ' s when so many people try to get onto one city bus , and the last guy is squeezed in so tight that the door is tightly pressed against his butt .",disgust
"That sounds terrible the way you describe it . But you know , not long ago I really suffered on the bus .",disgust
What happened ? Were you having a hard time getting on a bus ?,neutral
"You just can ' t imagine ! I waited for the first bus but it was too full , so I waited for the second , and it was still very crowded . Then I decided not to wait for the next one , and got on the second bus . It was so full that I had to stand on one foot ! No kidding !",anger
"Hmm . Good exercise , uh ?",neutral
"Yeah , absolutely !",neutral
"And it ' s so much fun . One day , the bodies were so tightly packed that some girl ' s behind was pressed against my front . I was afraid to put my hands down for fear of accidentally groping her .",neutral
"You were so happy , weren ' t you ?",neutral
What do you think ? I ' m a good boy .,neutral
Do you know how to go to the Fragrant Hills in Beijing ? I heard that they are very famous in China .,happiness
